"Edad","esc_bajo","esc_medio","esc_alto","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
58,24339,14426,2943,18,363,143,0.0149143350178725,0.00991265770137252,0.00611620795107034,0.0125635369713244,41708,524,0.0705620024935264,0.345880886160928,0.583557111345545,0.0153046566509327,0.0153986752248345,0.0155627967006255,0.0102405202861841,0.0100925522083223,0.0102129625212503,0.00695878862717025,0.00693180118033053,0.00709090133700452,0.0129522914642637,0.0129521138665558,0.0130994135687549
59,22979,13816,2702,23,384,157,0.016710909961269,0.0113636363636364,0.00851221317542561,0.014279565536623,39497,564,0.0684102590070132,0.349798718890042,0.581791022102945,0.0169854297032935,0.0171966267835981,0.0171567289861468,0.0109103492626013,0.0111327611346339,0.0111035535451404,0.00758433265715065,0.00793816679069615,0.00795755047487027,0.0142137602601718,0.014441638375871,0.0144152235940195
60,23589,13968,2954,24,456,160,0.0193310441307389,0.011454753722795,0.00812457684495599,0.0157981782725679,40511,640,0.0729184665893214,0.344795240798795,0.582286292611883,0.0192997939965681,0.0188748849500078,0.0188703488569784,0.0122474138551163,0.012085347292465,0.0122422793971213,0.00927137908776754,0.00900268345358415,0.00908931415933996,0.0161588634031776,0.0158519185396317,0.0159231542987848
61,22052,12712,2684,30,482,177,0.0218574278976964,0.0139238514789176,0.011177347242921,0.0183988464003418,37448,689,0.0716727195043794,0.339457380901517,0.588869899594104,0.0203394311501618,0.0205395348373294,0.0203875523956829,0.0130982787596775,0.0135087297642649,0.0135072192430594,0.0101523386158343,0.0103270922337396,0.0101332270490242,0.0171831319555457,0.0174759059808516,0.0173887592250328
62,27383,14731,2779,31,543,205,0.0198298214220502,0.0139162310773199,0.0111550917596258,0.0173523711937273,44893,779,0.0619027465306395,0.328135789544027,0.609961463925334,0.0219793793652583,0.0217482373997114,0.021772742372015,0.0151804966780009,0.0149275806724482,0.0149377419840565,0.011557558997617,0.0110699054597488,0.0111012883701435,0.0190857225838316,0.0188384531546151,0.0188618894181883
63,23628,11581,2269,28,573,205,0.0242508887760284,0.0177014074777653,0.0123402379903041,0.0215059501574257,37478,806,0.0605421847483857,0.309007951331448,0.630449863920166,0.022925901683714,0.0230304548790041,0.0230912265736826,0.0165039665796662,0.0163769155154565,0.0163391395742145,0.0114998187657951,0.0119068674169423,0.0119983144961212,0.0202465049244679,0.0202713091190981,0.0202933516677137
64,24092,11065,2181,24,595,198,0.0246969948530633,0.0178942611839132,0.0110041265474553,0.0218811934222508,37338,817,0.0584123413144785,0.296346885210777,0.645240773474744,0.02418608358804,0.0244949874423324,0.0246314827308242,0.0174462832887025,0.0177129225347389,0.0177645529121884,0.0126632244874148,0.0130181706116727,0.0133175434295288,0.0214816998489949,0.021770292729428,0.0218779862140253
65,24269,11109,2185,32,573,186,0.0236103671350282,0.0167431812044288,0.0146453089244851,0.0210579559673083,37563,791,0.0581689428426909,0.295743151505471,0.646087905651838,0.0263729770552434,0.026369005871136,0.0267571376919055,0.0191885177358481,0.0192038206863697,0.0194772896554558,0.0148914685818081,0.0150275922599716,0.015037408559302,0.0235826734148211,0.0235923567935499,0.0239225383727438
66,18532,8374,1682,32,571,192,0.0308115691776387,0.0229281108192023,0.0190249702734839,0.0278088708549042,28588,795,0.0588358751923884,0.292920106338324,0.648244018469288,0.0285479569701247,0.029407419762248,0.029687667907382,0.0209766610345586,0.0215151257452588,0.0216826019956268,0.0175280837106917,0.0170664628062618,0.0169860421457504,0.0257126971168337,0.0264049655952535,0.0266227724556797
67,18929,8083,1639,31,591,188,0.0312219345977072,0.0232586910800445,0.0189139719341062,0.0282712645282887,28651,810,0.0572056821751422,0.28211929775575,0.660675020069107,0.0333013252613758,0.0332865780887621,0.033481068111147,0.0243801984653698,0.0243288595552519,0.0243978876681442,0.0187798361262856,0.0188640713710178,0.0187772896986258,0.0299195262541057,0.0298709949782359,0.0300085564270139
