"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
48,29266,58576,28141,2682,21,52,138,0.00177680584979157,0.00235591368478558,0.000746242137806048,0.00181923212884647,115983,211,0.242630385487528,0.505039531655501,0.25233008285697,0.00159161726008337,0.00162243899758255,0.00161298110773819,0.00243070568926505,0.00245645704201125,0.0024706700516157,0.000741333001795714,0.000749244144667117,0.00075764142779354,0.00180669213061464,0.0018279017376998,0.00183378491021738
49,31569,59604,27478,2830,21,49,160,0.00155215559567931,0.00268438359841621,0.00076424776184584,0.00193845816722994,118651,230,0.231586754431063,0.502347219998146,0.266066025570792,0.0017011597893673,0.0016935246841082,0.0017124926882939,0.0026814379632252,0.00269902577028264,0.00270312470758535,0.000821247465724477,0.000831925049569948,0.000838665548795898,0.00198745484692896,0.00199494286423224,0.00200175842343394
50,33812,59254,26226,3063,25,60,178,0.00177451792263102,0.00300401660647382,0.000953252497521544,0.00220467424471046,119292,263,0.219847097877477,0.496713945612447,0.283438956510076,0.00178779700287392,0.00182151438319097,0.00183365210995056,0.00298493365835765,0.00295389131046218,0.00295640532341952,0.000933194681189653,0.000934827452150628,0.000933096958740751,0.00219068161515313,0.00218243066836977,0.00218526633695456
51,35351,58168,25876,3092,28,72,190,0.00203671749031145,0.00326640077018292,0.00108208378420158,0.00242891243351899,119395,290,0.216725993550819,0.487189580803216,0.296084425645965,0.00197558635733168,0.00198591726255251,0.00198948236248643,0.00319530230980367,0.00321629888951376,0.0032081562976221,0.00105004020953775,0.00103253837450168,0.00102292325228264,0.00236915554302723,0.00237842547826168,0.00237255531284499
52,37343,57910,26014,3238,29,79,192,0.00211552365905257,0.00331548955275427,0.00111478434689014,0.00247387995085225,121267,300,0.214518376804902,0.477541293179513,0.307940330015585,0.00219436842745194,0.00216101544171581,0.00216827235632124,0.00346866070037996,0.00345427869289036,0.00347568749169041,0.00111438023277763,0.0011014039301956,0.0010971400356198,0.00257543927660466,0.00255680979190353,0.00256944274478179
53,38258,55961,24427,3237,28,93,214,0.00243086413299179,0.00382409177820268,0.00114627256724117,0.00282352544544275,118646,335,0.205881361360686,0.471663604335587,0.322455034303727,0.00231309154036383,0.0023578843646954,0.00235753872511364,0.00369887306848744,0.00375648489266712,0.00377308555511446,0.00113979134827143,0.00115747780216213,0.00116386913565311,0.00272583455607868,0.00277309296418018,0.00278296685693661
54,39701,56608,24173,3390,28,95,224,0.00239288682904713,0.00395703787450537,0.00115831713068299,0.00288009827194104,120482,347,0.200635779618532,0.469846118092329,0.329518102289139,0.00256619312627045,0.00255371636892971,0.00257997690352938,0.00410192090913396,0.00410849307978589,0.00414678154149929,0.00121826182543734,0.00123272567460158,0.00124928994399134,0.0030180050598572,0.00301899781472613,0.00304902018726895
55,38611,53485,22219,3248,30,111,242,0.00287482841677242,0.00452463307469384,0.00135019577838787,0.00335039146218781,114315,383,0.194366443598828,0.467873857324061,0.337759699077112,0.00278186444015485,0.00282832997696301,0.00283855179495074,0.00452468526173627,0.00457536665204486,0.00458665720671037,0.00134012385009597,0.00135766635521032,0.00136492178442918,0.0033131538282425,0.00335496978290056,0.00336465097758807
56,38663,51253,21166,3308,32,119,261,0.00307787807464501,0.0050923848360096,0.00151185864121705,0.00370897175059866,111082,412,0.190543922507697,0.461397886246196,0.348058191246106,0.00313693236446373,0.00313360903895948,0.00317582677725835,0.00509949378526434,0.00507611188830035,0.00507055984145021,0.00151461339009764,0.00150437332347564,0.00150804970117707,0.00373375046060197,0.00371998533513753,0.00373280103351405
57,37593,48051,19622,3302,33,130,273,0.00345809060197377,0.00568146344508959,0.001681785750688,0.00414188816901944,105266,436,0.186403967092888,0.456472175251268,0.357123857655843,0.00348203031225986,0.00356554131585257,0.00359029768925889,0.00560415661790045,0.00556020098400541,0.00553665054023588,0.0016583827302333,0.00166210942484527,0.00165875697029443,0.00411305171656811,0.00412344798250407,0.00412004899965465
58,36316,46865,19085,3358,34,142,283,0.00391012226016081,0.00603862157260216,0.00178150379879487,0.00448829523008625,102266,459,0.18662116441437,0.458265699254884,0.355113136330745,0.00407766127083411,0.00407174271296462,0.00411293939693878,0.00597695254885145,0.00597363874840187,0.00597698598211877,0.00181333215420487,0.00180978816256237,0.00179669824625948,0.00452354177034213,0.00451671368132235,0.00452839221572165
59,34534,45727,18718,3249,37,168,284,0.00486477095036775,0.0062107726288626,0.00197670691313174,0.00494044191192071,98979,489,0.189110821487386,0.461986886107154,0.34890229240546,0.00465553655579987,0.00470153416199915,0.00470197712829284,0.0063398070784537,0.00639711821394903,0.00643613660434548,0.00195764960324893,0.0019181971513708,0.00192695905403761,0.00491354755705682,0.00494501498333854,0.00496177974866333
